x,y,z
83.550003,-45.450001,-45.150002
83.550003,-45.450001,-45.150002
83.550003,-46.349998,-45.150002
85.349998,-46.049999,-44.250000
84.150002,-46.349998,-44.849998
84.150002,-46.349998,-44.849998
84.900002,-47.400002,-45.000000
85.199997,-46.200001,-44.400002
85.199997,-46.200001,-44.400002
84.300003,-45.599998,-43.799999
85.349998,-46.049999,-44.250000
84.900002,-45.000000,-45.299999
84.900002,-45.000000,-45.299999
83.849998,-46.049999,-43.950001
84.449997,-45.450001,-44.250000
84.449997,-45.450001,-44.250000
84.750000,-45.750000,-45.750000
84.300003,-46.500000,-44.099998
84.750000,-46.049999,-44.849998
85.050003,-45.750000,-44.549999
85.050003,-45.750000,-44.549999
84.000000,-45.900002,-45.599998
83.550003,-45.750000,-44.250000
83.550003,-45.750000,-44.250000
84.750000,-46.349998,-44.849998
86.550003,-46.349998,-44.549999
85.500000,-46.500000,-44.400002
85.500000,-46.500000,-44.400002
84.300003,-46.500000,-44.099998
85.199997,-47.099998,-44.700001
85.199997,-47.099998,-44.700001
84.900002,-46.799999,-44.099998
84.900002,-46.200001,-44.700001
84.750000,-46.049999,-46.049999
84.750000,-46.049999,-46.049999
84.900002,-45.299999,-45.599998
84.750000,-47.250000,-45.750000
84.300003,-45.900002,-43.500000
84.300003,-45.900002,-43.500000
85.199997,-45.299999,-43.799999
86.250000,-46.950001,-44.250000
86.250000,-46.950001,-44.250000
84.750000,-46.349998,-44.549999
84.300003,-46.200001,-45.599998
85.349998,-46.349998,-44.250000
84.300003,-45.599998,-44.400002
84.300003,-45.599998,-44.400002
83.699997,-45.299999,-44.700001
83.699997,-45.299999,-44.700001
84.900002,-45.900002,-45.000000
84.300003,-45.900002,-45.299999
84.300003,-45.900002,-45.299999
84.900002,-46.799999,-45.900002
84.900002,-46.799999,-45.900002
85.949997,-45.750000,-44.250000
83.849998,-46.049999,-45.450001
83.849998,-46.049999,-45.450001
83.550003,-45.750000,-44.849998
84.449997,-47.250000,-44.549999
85.349998,-46.349998,-43.950001
85.349998,-46.349998,-43.950001
85.349998,-45.150002,-44.849998
84.750000,-45.150002,-45.450001
84.750000,-45.150002,-45.450001
84.000000,-46.799999,-45.299999
84.750000,-46.349998,-45.750000
85.349998,-46.650002,-45.750000
85.349998,-46.650002,-45.750000
84.300003,-45.900002,-43.500000
84.750000,-46.349998,-45.450001
84.750000,-46.349998,-45.450001
84.750000,-45.750000,-45.150002
84.750000,-45.750000,-45.150002
86.250000,-46.349998,-43.950001
86.250000,-46.349998,-43.950001
84.150002,-45.750000,-45.750000
83.849998,-45.750000,-45.750000
83.849998,-45.750000,-45.750000
83.400002,-45.900002,-45.299999
83.400002,-45.900002,-45.299999
83.699997,-45.599998,-44.700001
84.150002,-46.349998,-45.150002
84.150002,-46.349998,-45.150002
85.349998,-46.650002,-43.049999
85.050003,-45.150002,-44.549999
84.599998,-46.500000,-45.000000
84.599998,-46.500000,-45.000000
84.150002,-45.750000,-44.549999
84.750000,-46.650002,-45.150002
84.750000,-46.650002,-45.150002
85.349998,-46.950001,-44.549999
84.599998,-44.700001,-44.400002
