x,y,z
-10.219704,-2.741221,29.053661
-10.219704,-2.741221,29.053661
-10.219704,-2.741221,29.053661
-10.543662,-0.453898,29.316076
-11.175060,-1.309291,28.171337
-11.175060,-1.309291,28.171337
-11.175060,-1.309291,28.171337
-10.208630,-3.003891,29.205713
-10.208630,-3.003891,29.205713
-10.208630,-3.003891,29.205713
-10.923014,-3.443062,28.456161
-10.118846,-3.951462,28.957178
-10.118846,-3.951462,28.957178
-10.118846,-3.951462,28.957178
-10.007679,-3.555636,28.735664
-10.007679,-3.555636,28.735664
-10.007679,-3.555636,28.735664
-10.782901,-4.103924,28.685413
-10.118846,-3.951462,28.957178
-10.118846,-3.951462,28.957178
-10.118846,-3.951462,28.957178
-10.118846,-3.951462,28.957178
-10.118846,-3.951462,28.957178
-10.118846,-3.951462,28.957178
-11.548604,-7.767246,27.870996
-11.801640,-8.570916,27.999098
-11.801640,-8.570916,27.999098
-13.525418,-8.218620,27.213175
-13.525418,-8.218620,27.213175
-13.525418,-8.218620,27.213175
-13.085453,-9.926518,28.063795
-11.261580,-9.620317,28.476156
-11.261580,-9.620317,28.476156
-11.261580,-9.620317,28.476156
-10.400084,-12.157014,28.549547
-9.811028,-10.965896,27.898163
-9.811028,-10.965896,27.898163
-9.811028,-10.965896,27.898163
-9.811028,-10.965896,27.898163
-9.811028,-10.965896,27.898163
-9.811028,-10.965896,27.898163
-8.364954,-10.796494,28.366829
-8.364954,-10.796494,28.366829
-7.805266,-11.571207,29.006756
-7.805266,-11.571207,29.006756
-7.805266,-11.571207,29.006756
-7.805266,-11.571207,29.006756
-6.291756,-10.040380,29.974829
-5.501751,-9.401006,28.853395
-5.501751,-9.401006,28.853395
-5.700179,-9.649288,29.464691
-5.700179,-9.649288,29.464691
-5.700179,-9.649288,29.464691
-4.896777,-8.288954,29.688620
-4.601766,-9.519590,28.975439
-4.601766,-9.519590,28.975439
-4.601766,-9.519590,28.975439
-3.900211,-9.886456,29.708775
-3.900211,-9.886456,29.708775
-3.900211,-9.886456,29.708775
-3.946263,-9.904487,29.236393
-3.432630,-10.697228,29.403931
-3.432630,-10.697228,29.403931
-3.432630,-10.697228,29.403931
-2.429266,-12.826080,29.570738
-2.357354,-12.979634,29.023493
-2.357354,-12.979634,29.023493
-2.082171,-12.701301,29.199509
-3.003537,-13.926112,29.050438
-3.003537,-13.926112,29.050438
-1.830891,-12.966337,29.207251
-1.689022,-12.558493,29.300665
-1.689022,-12.558493,29.300665
-1.689022,-12.558493,29.300665
-1.689022,-12.558493,29.300665
-1.689022,-12.558493,29.300665
-1.689022,-12.558493,29.300665
-0.425826,-14.415021,29.486021
1.002377,-13.451603,29.655981
1.002377,-13.451603,29.655981
1.224910,-14.443609,28.160898
1.301664,-14.413559,28.948206
