x,y,z
-5.700000,-18.299999,40.500000
-5.400000,-18.299999,39.299999
-5.400000,-18.299999,39.299999
-5.400000,-18.299999,39.299999
-5.400000,-18.299999,39.299999
-6.750000,-19.350000,38.849998
-6.750000,-19.350000,38.849998
-5.700000,-18.600000,39.599998
-5.700000,-19.500000,38.400002
-5.700000,-19.500000,38.400002
-5.700000,-19.500000,38.400002
-5.700000,-19.500000,38.400002
-5.700000,-19.500000,38.400002
-4.350000,-18.750000,40.650002
-6.300000,-18.900000,40.500000
-6.300000,-18.900000,40.500000
-6.000000,-19.200001,39.000000
-6.000000,-19.200001,39.000000
-6.000000,-19.200001,39.000000
-6.000000,-19.200001,39.000000
-4.800000,-18.900000,39.900002
-5.700000,-18.900000,39.900002
-5.700000,-18.900000,39.900002
-5.700000,-18.900000,39.900002
-5.700000,-18.900000,39.900002
-5.700000,-18.900000,39.900002
-5.700000,-18.900000,39.900002
-5.550000,-17.850000,40.650002
-6.300000,-19.799999,40.200001
-6.300000,-19.799999,40.200001
-6.300000,-19.799999,40.200001
-6.300000,-19.799999,40.200001
-6.300000,-19.799999,40.200001
-6.300000,-19.799999,40.200001
-6.150000,-19.049999,39.750000
-6.150000,-19.049999,39.750000
-5.700000,-19.200001,39.000000
