x,y,ar,
-57.299999,-30.6,-9.6,-2.06129699086363
-57.299999,-30.6,-9.6,-2.06129699086363
-57.150002,-30.15,-9.75,-2.05624731925279
-56.849998,-30.15,-9.75,-2.05842266950139
-56.25,-30.450001,-9.75,-2.0669613398517
-55.950001,-29.85,-10.05,-2.06089278573908
-56.099998,-30.6,-9.6,-2.07014306346191
-56.25,-29.85,-10.05,-2.05867523010269
-55.799999,-29.4,-9,-2.05571732921041
-55.799999,-29.4,-9,-2.05571732921041
-55.799999,-29.4,-9,-2.05571732921041
-55.799999,-29.4,-9,-2.05571732921041
-55.799999,-29.4,-9,-2.05571732921041
-55.799999,-29.4,-9,-2.05571732921041
-56.400002,-30.299999,-9,-2.06378558875378
-56.099998,-30.6,-9.6,-2.07014306346191
-57.599998,-30,-9.6,-2.05097137062398
-57,-29.4,-9.3,-2.04699557786527
-56.25,-29.85,-8.85,-2.05867523010269
-55.950001,-29.549999,-8.85,-2.05670958736038
-55.650002,-29.549999,-9.45,-2.05893315283328
-55.650002,-29.549999,-9.45,-2.05893315283328
-55.650002,-29.549999,-9.45,-2.05893315283328
-55.650002,-29.549999,-9.45,-2.05893315283328
-55.650002,-29.549999,-9.45,-2.05893315283328
-55.650002,-29.549999,-9.45,-2.05893315283328
-55.950001,-30.15,-9.15,-2.06505738133428
-56.25,-29.85,-9.15,-2.05867523010269
-57,-29.700001,-9.9,-2.05114385833596
-55.5,-30.6,-9,-2.07467645149464
-56.400002,-30,-10.2,-2.05964866642022
-56.549999,-30.450001,-9.75,-2.06473771680485
-56.400002,-28.799999,-9.6,-2.04291828077258
-56.400002,-28.799999,-9.6,-2.04291828077258
-56.400002,-28.799999,-9.6,-2.04291828077258
-56.400002,-28.799999,-9.6,-2.04291828077258
-56.400002,-28.799999,-9.6,-2.04291828077258
-56.400002,-28.799999,-9.6,-2.04291828077258
-56.549999,-29.549999,-9.75,-2.05231794553811
-55.950001,-30.15,-10.35,-2.06505738133428
-56.099998,-30,-9,-2.06186323745991
-57.150002,-28.65,-8.55,-2.03549323933366
-57.299999,-30.9,-9.9,-2.06536192264975
-56.849998,-28.950001,-9.45,-2.04180450403723
-57,-30.299999,-10.8,-2.05938677308075
-57,-30.299999,-10.8,-2.05938677308075
-57,-30.299999,-10.8,-2.05938677308075
-57,-30.299999,-10.8,-2.05938677308075
-57,-30.299999,-10.8,-2.05938677308075
-56.400002,-30,-10.2,-2.05964866642022
-57.900002,-30,-10.2,-2.04884621798026
-57.150002,-31.049999,-9.75,-2.06848647845408
-56.700001,-29.4,-10.2,-2.04914875096635
-55.950001,-30.75,-10.35,-2.07333072936488
-56.700001,-31.799999,-8.7,-2.08192885380477
-56.549999,-29.85,-10.05,-2.05647605431581
-56.549999,-29.85,-10.05,-2.05647605431581
-56.549999,-29.85,-10.05,-2.05647605431581
-56.549999,-29.85,-10.05,-2.05647605431581
-56.549999,-29.85,-10.05,-2.05647605431581
-56.549999,-29.85,-10.05,-2.05647605431581
-56.099998,-30.299999,-10.5,-2.06601239339041
-56.700001,-28.5,-9.9,-2.0365580904737
-57.299999,-30,-9,-2.05311397256395
-56.849998,-29.549999,-10.35,-2.05014945117494
-56.400002,-30.6,-9.6,-2.06790423138132
-57.299999,-29.4,-9,-2.04486023281502
-57.299999,-29.4,-9,-2.04486023281502
-57.299999,-29.4,-9,-2.04486023281502
-57.299999,-29.4,-9,-2.04486023281502
-57.299999,-29.4,-9,-2.04486023281502
-57.299999,-29.4,-9,-2.04486023281502
-55.950001,-30.15,-9.45,-2.06505738133428
-55.950001,-30.450001,-10.95,-2.0692033820423
-57.150002,-30.75,-9.45,-2.06442459408428
-56.400002,-29.700001,-10.2,-2.05549345719439
-57,-30.299999,-9,-2.05938677308075
-57.299999,-30.299999,-9.6,-2.05721432026305
-56.549999,-29.549999,-8.85,-2.05231794553811
-56.549999,-29.549999,-8.85,-2.05231794553811
-56.549999,-29.549999,-8.85,-2.05231794553811
-56.549999,-29.549999,-8.85,-2.05231794553811
-56.549999,-29.549999,-8.85,-2.05231794553811
-56.549999,-29.549999,-8.85,-2.05231794553811
-56.400002,-30,-8.7,-2.05964866642022
-56.400002,-29.700001,-9.6,-2.05549345719439
-57.150002,-28.950001,-10.65,-2.03967948986937
-56.400002,-30,-9.9,-2.05964866642022
-57.450001,-29.549999,-9.75,-2.04586605578484
-56.549999,-30.15,-9.15,-2.0606159762382
-56.549999,-30.15,-9.15,-2.0606159762382
-56.549999,-30.15,-9.15,-2.0606159762382
-56.549999,-30.15,-9.15,-2.0606159762382
-56.549999,-30.15,-9.15,-2.0606159762382
-56.549999,-30.15,-9.15,-2.0606159762382
-57.150002,-29.25,-9.45,-2.04384803308262
-55.049999,-30.450001,-8.25,-2.07604214532272
-57.75,-29.85,-10.95,-2.04785902366373
-57.299999,-31.799999,-9.6,-2.07745018321561
-56.700001,-29.1,-9.6,-2.04496985566294
-57.299999,-30.299999,-9.6,-2.05721432026305
-57,-30,-9.6,-2.05527425583192
-57,-30,-9.6,-2.05527425583192
-57,-30,-9.6,-2.05527425583192
-57,-30,-9.6,-2.05527425583192
-57,-30,-9.6,-2.05527425583192
-56.849998,-29.85,-10.35,-2.05429505182384
-57,-29.4,-9.9,-2.04699557786527
-56.25,-29.25,-9.75,-2.05031561878749
-57,-30.299999,-9,-2.05938677308075
-56.099998,-29.700001,-10.2,-2.0576955872712
-56.549999,-29.85,-10.05,-2.05647605431581
-56.25,-30.15,-10.65,-2.06282747836264
-56.700001,-30,-9.3,-2.0574524197862
-56.700001,-30,-9.3,-2.0574524197862
-56.700001,-30,-9.3,-2.0574524197862
-56.700001,-30,-9.3,-2.0574524197862
-56.700001,-30,-9.3,-2.0574524197862
-57.299999,-29.4,-9,-2.04486023281502
-57.450001,-29.549999,-10.35,-2.04586605578484
-57.299999,-30,-9.6,-2.05311397256395
-57.450001,-29.25,-9.15,-2.04172787902043
-56.549999,-30.450001,-9.75,-2.06473771680485
-57,-30.6,-9.9,-2.06348141496835
-57,-30.6,-9.9,-2.06348141496835
-57,-30.6,-9.9,-2.06348141496835
-57,-30.6,-9.9,-2.06348141496835
-57,-30.6,-9.9,-2.06348141496835
-57,-30.6,-9.9,-2.06348141496835
-56.549999,-30.450001,-10.35,-2.06473771680485
-57,-31.200001,-9.9,-2.07161690025868
-56.549999,-30.15,-9.15,-2.0606159762382
-56.549999,-29.25,-9.75,-2.04814171638462
-57.599998,-30.9,-8.7,-2.06318346834673
