x,y,ar
29.549999,0.45,-4.95
30.599998,-1.2,-3.3
30.599998,-1.2,-3.3
30.599998,0.3,-4.8
31.35,-0.45,-4.05
29.849998,-1.65,-4.35
29.849998,-1.65,-4.35
30,-0.3,-3.3
29.849998,-1.05,-3.15
29.700001,-0.6,-4.8
29.700001,-0.6,-4.8
30.150002,0.15,-4.35
29.099998,-0.6,-3.3
29.099998,-0.6,-3.3
30.299999,-3,-5.1
29.549999,-3.45,-3.45
30.900002,-1.8,-4.2
30.900002,-1.8,-4.2
30.299999,-3.3,-4.2
30.450001,-2.55,-4.35
30.450001,-2.55,-4.35
30.150002,-2.85,-4.95
30,-3.6,-5.4
30,-3.6,-5.4
30.299999,-1.8,-3.6
30,-1.5,-3.9
29.849998,-0.75,-4.05
29.849998,-0.75,-4.05
30.450001,-1.65,-4.65
29.25,-1.35,-4.65
29.25,-1.35,-4.65
31.049999,-0.75,-4.65
30.450001,-1.35,-5.25
30,-0.6,-3.6
30,-0.6,-3.6
30.299999,0.6,-3.9
30.900002,-0.3,-4.2
30.900002,-0.3,-4.2
31.35,-0.45,-3.75
30.75,1.05,-4.65
31.200001,2.4,-3.9
29.849998,1.65,-4.35
30.150002,1.95,-4.05
30,2.1,-3.6
30,2.1,-3.6
30.599998,2.1,-3
30.900002,2.7,-4.2
30.900002,2.7,-4.2
30.150002,4.05,-4.35
29.549999,2.55,-2.55
31.65,3.45,-4.65
31.65,3.45,-4.65
29.099998,4.5,-4.2
29.25,5.25,-3.75
29.099998,6.3,-4.5
29.099998,6.3,-4.5
30.150002,5.25,-4.65
29.849998,6.15,-4.35
29.849998,6.15,-4.35
29.849998,6.15,-4.35
29.849998,6.15,-4.35
29.549999,6.75,-3.75
28.5,7.8,-3.9
28.5,7.8,-3.9
28.5,7.8,-3.9
29.25,8.25,-2.85
29.700001,7.8,-4.5
28.950001,8.85,-4.05
28.950001,8.85,-4.05
28.799999,7.5,-2.7
28.200001,8.1,-3
28.200001,9,-3.6
28.200001,9,-3.6
28.200001,9,-3.6
28.349998,9.45,-3.9
27.900002,10.2,-3
27.900002,10.2,-3
27.900002,10.2,-3
29.099998,10.8,-3.6
28.650002,10.65,-2.55
27.900002,11.7,-2.4
27.900002,11.7,-2.4
28.5,10.5,-2.7
28.049999,11.25,-3.45
27.299999,11.4,-3
28.049999,12.45,-3.15
28.049999,12.45,-3.15
28.950001,12.45,-3.45
29.549999,11.25,-2.55
29.549999,11.25,-2.55
29.549999,11.25,-2.55
29.549999,11.25,-2.55
26.849998,13.35,-2.55
26.099998,13.8,-2.7
