x,y,ar
-55.650002,-31.049999,-9.150000
-56.099998,-29.400000,-9.000000
-55.500000,-30.900000,-10.500000
-55.200001,-29.700001,-9.600000
-55.200001,-30.900000,-9.300000
-55.950001,-28.950001,-8.550000
-55.950001,-28.950001,-8.550000
-55.950001,-28.950001,-8.550000
-55.950001,-28.950001,-8.550000
-55.950001,-28.950001,-8.550000
-56.849998,-29.850000,-9.450000
-55.799999,-31.200001,-8.700000
-55.200001,-29.400000,-9.300000
-55.950001,-29.549999,-8.850000
-54.900002,-30.000000,-10.500000
-56.700001,-31.200001,-9.000000
-56.700001,-31.200001,-9.000000
-56.700001,-31.200001,-9.000000
-56.700001,-31.200001,-9.000000
-56.700001,-31.200001,-9.000000
-55.650002,-29.850000,-8.550000
-56.250000,-29.850000,-9.150000
-54.900002,-28.799999,-8.700000
-55.950001,-29.850000,-8.850000
-55.500000,-29.700001,-8.400000
-56.250000,-31.350000,-9.450000
-56.250000,-31.350000,-9.450000
-56.250000,-31.350000,-9.450000
-56.250000,-31.350000,-9.450000
-56.250000,-31.350000,-9.450000
-56.099998,-30.299999,-8.400000
-55.049999,-30.150000,-8.550000
-55.349998,-30.150000,-8.550000
-54.900002,-30.000000,-9.600000
-55.349998,-28.950001,-7.950000
-55.650002,-30.150000,-8.550000
-55.650002,-30.150000,-8.550000
-55.650002,-30.150000,-8.550000
-55.650002,-30.150000,-8.550000
-55.650002,-30.150000,-8.550000
-55.650002,-30.150000,-8.550000
-54.750000,-30.450001,-9.150000
-55.650002,-30.150000,-9.750000
-56.549999,-30.299999,-9.300000
-54.450001,-29.549999,-9.450000
-55.650002,-31.350000,-9.450000
-54.450001,-30.750000,-9.150000
-56.400002,-30.600000,-9.300000
-56.400002,-30.600000,-9.300000
-56.400002,-30.600000,-9.300000
-56.400002,-30.600000,-9.300000
-56.849998,-29.850000,-8.550000
-57.150002,-31.350000,-10.050000
-55.500000,-30.600000,-8.700000
-55.349998,-29.549999,-8.550000
-55.950001,-29.250000,-9.450000
-54.750000,-30.750000,-9.750000
-54.750000,-30.750000,-7.950000
-54.750000,-30.750000,-7.950000
-54.750000,-30.750000,-7.950000
-54.750000,-30.750000,-7.950000
-54.750000,-30.750000,-7.950000
-56.250000,-29.549999,-8.850000
-54.900002,-30.600000,-9.600000
-55.349998,-30.150000,-9.450000
-55.200001,-29.700001,-8.100000
-55.650002,-29.549999,-8.850000
